car_name,price,year,engine,mileage,valyuta,exchange_rate
Opel Astra,9300,2000,1.8,235000,AZN,1.00
Opel Astra,13500,2008,1.7,180000,AZN,1.00
Opel Astra,8400,1998,1.6,408761,AZN,1.00
Opel Astra,12200,2007,1.4,155772,AZN,1.00
Opel Astra,11700,2006,2.0,43000,AZN,1.00
Opel Astra,8500,1998,1.6,284842,AZN,1.00
Opel Astra,8900,1999,1.6,250000,AZN,1.00
Opel Astra,11600,2007,1.3,200000,AZN,1.00
Opel Astra,9200,2000,2.0,350000,AZN,1.00
Opel Astra,9000,2007,4.5,197000,AZN,1.00
Opel Astra,5500,2009,2.7,190000,AZN,1.00
Opel Astra,13600,2009,1.4,172000,AZN,1.00
Opel Astra,8300,1999,1.6,321000,AZN,1.00
Opel Astra,10900,2008,1.6,158000,AZN,1.00
Opel Astra,8500,2000,1.6,334000,AZN,1.00
Opel Astra,7800,1998,1.6,280000,AZN,1.00
Opel Astra,8700,1999,1.6,350000,AZN,1.00
Opel Astra,8950,1999,1.6,299000,AZN,1.00
Opel Astra,7800,1998,1.6,298000,AZN,1.00
Opel Astra,9800,1998,1.6,265901,AZN,1.00
Opel Astra,8000,1998,1.6,277581,AZN,1.00
Opel Astra,12500,2006,1.4,250000,AZN,1.00
Opel Astra,10500,2005,1.3,325000,AZN,1.00
Opel Astra,9500,2000,1.6,306000,AZN,1.00
Opel Astra,12600,2008,1.7,225000,AZN,1.00
Opel Astra,11900,2005,2.2,261000,AZN,1.00
Opel Astra,8500,2000,1.6,200500,AZN,1.00
Opel Astra,4600,1993,1.6,180000,AZN,1.00
Opel Astra,8800,2003,1.6,189500,AZN,1.00
Opel Astra,7700,1998,1.8,232000,AZN,1.00
Opel Astra,8600,2001,1.6,240000,AZN,1.00
Opel Astra,13250,2008,1.6,146350,AZN,1.00
Opel Astra,9000,2000,1.8,168500,AZN,1.00
Opel Astra,23500,2014,1.6,86000,AZN,1.00
Opel Astra,4300,1995,1.6,321523,AZN,1.00
Opel Astra,9500,1999,1.6,472870,AZN,1.00
Opel Astra,11200,2006,1.3,158000,AZN,1.00
Opel Astra,8800,1999,1.6,326738,AZN,1.00
Opel Astra,12200,2007,1.4,167000,AZN,1.00
Opel Astra,12000,2007,1.3,163400,AZN,1.00
Opel Astra,8900,1999,1.6,246753,AZN,1.00
Opel Astra,5600,1997,1.6,405700,AZN,1.00
Opel Astra,7900,1999,1.6,285000,AZN,1.00
Opel Astra,5000,1997,1.6,300000,AZN,1.00
Opel Astra,8700,1998,1.6,306500,AZN,1.00
Opel Astra,7500,1999,1.6,280000,AZN,1.00
Opel Astra,12800,2007,1.3,130888,AZN,1.00
Opel Astra,10700,2006,1.3,227000,AZN,1.00
Opel Astra,7700,1999,2.0,247000,AZN,1.00
Opel Astra,13300,2008,1.3,218000,AZN,1.00
Opel Astra,12500,2007,1.3,195000,AZN,1.00
Opel Astra,10000,2002,2.2,346500,AZN,1.00
Opel Astra,10900,2006,1.3,222000,AZN,1.00
Opel Astra,5500,1996,1.6,227000,AZN,1.00
Opel Astra,12200,2006,1.4,153000,AZN,1.00
Opel Astra,4500,1994,1.6,554000,AZN,1.00
Opel Astra,5300,1992,1.6,200000,AZN,1.00
Opel Astra,14000,2010,1.3,199000,AZN,1.00
Opel Astra,8400,1999,1.6,278652,AZN,1.00
Opel Astra,8100,1998,2.0,267018,AZN,1.00
Opel Astra,4900,1996,1.6,354990,AZN,1.00
Opel Astra,9700,2004,1.8,207000,AZN,1.00
Opel Astra,8400,2000,1.6,285000,AZN,1.00
Opel Astra,6500,1998,1.8,280000,AZN,1.00
Opel Astra,11800,2007,1.3,200000,AZN,1.00
Opel Astra,68500,2018,2.0,30000,$,1.70
Opel Astra,81000,2013,4.7,42427,$,1.70
Opel Astra,12800,2008,1.7,162000,AZN,1.00
